563.42839 2350.2286
1114.8304 1605.018
1544.4495 1000.9025
1852.2859 537.88159
2038.3398 215.95519
2147.8538 -32.17651
2226.0792 -273.82221
2273.0151 -508.98211
2288.6606 -737.65631
2260.8578 -1021.5681
2177.4543 -1279.7356
2038.4505 -1512.159
1843.846 -1718.8382
1726.0289 -1809.6817
1594.987 -1888.4129
1450.7202 -1955.0316
1293.2285 -2009.5383
1122.512 -2051.9328
938.57049 -2082.2155
531.01279 -2106.4456
317.38399 -2098.5364
119.51329 -2074.8167
-62.599167 -2035.2866
-228.95374 -1979.9461
-380.00205 -1909.1927
-516.1928 -1823.4397
-637.5262 -1722.6871
-744.00213 -1606.9348
-833.82067 -1483.1695
-905.18018 -1358.3923
-958.08057 -1232.6032
-992.52205 -1105.8022
-1030.3404 -804.55201
-1042.9463 -410.05511
-1042.9463 -218.68401
260.88259 -218.68401
260.88259 -718.19491
281.14119 -1007.6808
306.46619 -1109.2461
341.92169 -1182.0263
387.73029 -1233.1107
444.11959 -1269.6012
511.08979 -1291.4964
588.64059 -1298.7951
666.18939 -1292.204
733.15879 -1272.4376
789.54889 -1239.4959
835.35969 -1193.3788
896.13819 -1060.7944
916.39869 -873.88651
899.62689 -720.72671
849.31479 -540.20071
765.46219 -332.30851
648.06929 -97.04991
441.75649 251.73749
91.149593 800.20639
-1042.9463 2496.1895
-1042.9463 3245.4557
2158.9981 3245.4557
2158.9981 2350.2286
